작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 5개,"좋은 분위기, 아름다운 자연, 그리고 사진 찍기 좋은 장소들이 가득합니다.",2026,1.0,3,장소,가득하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,산책과 도시 경관 감상을 좋아하시는 분들께 강력 추천합니다.,2026,1.0,4,산책,좋아하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,산책과 도시 경관 감상을 좋아하시는 분들께 강력 추천합니다.,2026,1.0,4,경관,좋아하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,산책과 도시 경관 감상을 좋아하시는 분들께 강력 추천합니다.,2026,1.0,4,추천,강력하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"잊을 수 없는, 매우 문화적인 경험이었습니다.",2026,1.0,1,경험,잊다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"잊을 수 없는, 매우 문화적인 경험이었습니다.",2026,1.0,1,경험,문화적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,흥미롭고 저렴한 경험.,2026,1.0,1,경험,흥미롭다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,흥미롭고 저렴한 경험.,2026,1.0,1,경험,저렴하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,멋진 경치.,2026,1.0,2,경치,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,겨울 저녁인데도 사람이 정말 많았어요.,2026,1.0,1,사람,많다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,"케이블카를 타고 정상까지 올라갔는데, 미리 티켓을 살 필요 없이 현장에서 구매하면 돼요.",2026,1.0,2,,,,,중립
1달 전,별표 4개,걸어서 올라가는 사람들도 있었고요.,2026,1.0,3,,,,,중립
1달 전,별표 4개,밤에 보는 야경이 꽤 멋지더라고요.,2026,1.0,4,야경,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,"정상에는 딱히 할 만한 건 없지만, 다들 한국 드라마 때문에 유명해진 것 같아요.",2026,1.0,5,정상,없다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,"정상에는 딱히 할 만한 건 없지만, 다들 한국 드라마 때문에 유명해진 것 같아요.",2026,1.0,5,드라마,유명하다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,서울 시내 전체를 조망할 수 있는 최고의 전망,2026,1.0,1,전망,조망하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,황혼 추웠지만 매우 좋았습니다!,2026,1.0,1,황혼,춥다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,황혼 추웠지만 매우 좋았습니다!,2026,1.0,1,황혼,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,역대 최고의 소변기 풍경,2026,1.0,1,,,,,긍정
1달 전,별표 5개,서울을 구경하기 좋은 곳,2026,1.0,1,서울,구경하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,서울을 구경하기 좋은 곳,2026,1.0,1,곳,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,직원분들이 정말 친절하시고 전체적으로 아주 아주 좋은 곳이에요❤️❤️❤️,2026,1.0,1,직원,친절하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,직원분들이 정말 친절하시고 전체적으로 아주 아주 좋은 곳이에요❤️❤️❤️,2026,1.0,1,곳,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울의 상징적인 랜드마크인 N 타워는 서울에 왔다면 꼭 방문해야 할 곳입니다.,2026,1.0,1,타워,상징적이다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,서울의 상징적인 랜드마크인 N 타워는 서울에 왔다면 꼭 방문해야 할 곳입니다.,2026,1.0,1,곳,방문하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,적어도 한 번은 가봐야 할 곳 중 하나죠.,2026,1.0,2,,,,,긍정
1달 전,별표 5개,"꼭대기에서 바라보는 서울의 전경은 정말 환상적이며, 특히 밤에 불빛으로 환하게 빛나는 모습은 장관입니다.",2026,1.0,3,전경,환상적이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"꼭대기에서 바라보는 서울의 전경은 정말 환상적이며, 특히 밤에 불빛으로 환하게 빛나는 모습은 장관입니다.",2026,1.0,3,불빛,환하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"꼭대기에서 바라보는 서울의 전경은 정말 환상적이며, 특히 밤에 불빛으로 환하게 빛나는 모습은 장관입니다.",2026,1.0,3,모습,빛나다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,주변에는 산책하고 사진을 찍으며 분위기를 만끽할 수 있는 곳들이 많아 즐길 거리가 풍부합니다.,2026,1.0,4,곳,많다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,주변에는 산책하고 사진을 찍으며 분위기를 만끽할 수 있는 곳들이 많아 즐길 거리가 풍부합니다.,2026,1.0,4,즐길 거리,풍부하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,몇 시간 정도 시간을 내어 둘러보면 서울의 아름다움을 제대로 느낄 수 있을 거예요.,2026,1.0,5,아름다움,느끼다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,서울의 잊지 못할 추억을 만들어 줄 상징적인 장소입니다.,2026,1.0,6,장소,상징적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울에 가면 꼭 가봐야 할 곳이에요!,2026,1.0,1,,,,,긍정
1달 전,별표 5개,날씨도 너무 좋아서 완벽했어요.,2026,1.0,2,날씨,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,날씨도 너무 좋아서 완벽했어요.,2026,1.0,2,날씨,완벽하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,멋진 전망에 눈을 뗄 수가 없었답니다.,2026,1.0,3,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"타워에서 아래를 내려다볼 수 있는 좋은 자리를 찾았는데, 수제 맥주도 있어서 더 오래 머물렀어요.",2026,1.0,4,자리,좋다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,"타워에서 아래를 내려다볼 수 있는 좋은 자리를 찾았는데, 수제 맥주도 있어서 더 오래 머물렀어요.",2026,1.0,4,맥주,있다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"찾아가기도 쉽고, 엘리베이터도 있어서 편리하고 빨랐어요.",2026,1.0,5,찾아가기,쉽다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,"찾아가기도 쉽고, 엘리베이터도 있어서 편리하고 빨랐어요.",2026,1.0,5,엘리베이터,있다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,"찾아가기도 쉽고, 엘리베이터도 있어서 편리하고 빨랐어요.",2026,1.0,5,엘리베이터,편리하다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,"찾아가기도 쉽고, 엘리베이터도 있어서 편리하고 빨랐어요.",2026,1.0,5,엘리베이터,빠르다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,화장실도 깨끗하고 쾌적해서 하늘을 감상하며 식사할 수 있었어요.,2026,1.0,6,화장실,깨끗하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,화장실도 깨끗하고 쾌적해서 하늘을 감상하며 식사할 수 있었어요.,2026,1.0,6,화장실,쾌적하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,서울의 멋진 파노라마 전망을 감상할 수 있는 곳입니다.,2026,1.0,1,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,환경도 깨끗하고 잘 설계되어 있어요.,2026,1.0,2,환경,깨끗하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,환경도 깨끗하고 잘 설계되어 있어요.,2026,1.0,2,환경,설계되다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,여행 일정에 꼭 포함시키기를 강력 추천합니다.,2026,1.0,3,,,,,긍정
1달 전,별표 5개,키가 큰,2026,1.0,1,키,크다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,"서울 타워에 처음 가봤는데, 최고로 멋진 꼭대기 전망이었어요.",2026,1.0,1,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,이곳은 서울역에서 꽤 멀기 때문에 402번이나 405번 버스를 타는 것을 추천합니다.,2026,1.0,1,이곳,멀다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,남산도서관에 도착하면 버스에서 내려 길을 조심해서 건너 타워 방향으로 난 길을 따라 걸어가면 됩니다.,2026,1.0,2,,,,,중립
1달 전,별표 5개,아니면 남산케이블카를 타고 걸어서 갈 수도 있습니다.,2026,1.0,3,,,,,중립
1달 전,별표 5개,두 곳 모두 지하철역에서 멀고 케이블카 요금이 꽤 비싸기 때문에 아기와 함께 가는 경우가 아니라면 버스를 타고 걸어가는 것을 추천합니다.,2026,1.0,4,곳,멀다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,두 곳 모두 지하철역에서 멀고 케이블카 요금이 꽤 비싸기 때문에 아기와 함께 가는 경우가 아니라면 버스를 타고 걸어가는 것을 추천합니다.,2026,1.0,4,요금,비싸다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,특히 저녁에 가면 더욱 멋진 경치를 감상할 수 있습니다.,2026,1.0,5,경치,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,서울의 멋진 전망을 감상할 수 있습니다.,2026,1.0,1,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"다만 겨울에는 걸어 올라가기엔 매우 추울 수 있으니, 버스를 타고 올라가는 것을 추천합니다 (카카오/네이버 지도를 이용하세요).",2026,1.0,2,겨울,춥다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 3개,음...,2026,1.0,1,,,,,중립
1달 전,별표 3개,그냥 평범하네요!,2026,1.0,2,,,,,중립
1달 전,별표 3개,"두 사람 입장료가 약 NT$1200이나 되는데, 그만한 가치는 없어 보여요.",2026,1.0,3,입장료,되다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 3개,"두 사람 입장료가 약 NT$1200이나 되는데, 그만한 가치는 없어 보여요.",2026,1.0,3,가치,없다,1. 전반적 인식,종합 만족도,부정
1달 전,별표 3개,하지만 비싼 가격에도 불구하고 공간은 꽤 쾌적하고 붐비지 않는다는 장점이 있네요!,2026,1.0,4,가격,비싸다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 3개,하지만 비싼 가격에도 불구하고 공간은 꽤 쾌적하고 붐비지 않는다는 장점이 있네요!,2026,1.0,4,공간,쾌적하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 3개,하지만 비싼 가격에도 불구하고 공간은 꽤 쾌적하고 붐비지 않는다는 장점이 있네요!,2026,1.0,4,공간,붐비다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,꼭 방문해야 할 사이트,2026,1.0,1,,,,,긍정
1달 전,별표 5개,멋진,2026,1.0,1,,,,,긍정
1달 전,별표 5개,관광객이라면 꼭 한번 방문할 만한 곳입니다.,2026,1.0,1,,,,,긍정
1달 전,별표 5개,정상에서 바라보는 경치가 아름답습니다.,2026,1.0,2,경치,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,겨울에도 사람이 정말 많네요 🙂🙂…,2026,1.0,1,사람,많다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,"1월 14일에 방문했는데 날씨가 너무 추워서 걸어서 올라가는 게 좀 힘들었지만, 경치가 정말 멋졌어요.",2026,1.0,1,날씨,춥다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,"1월 14일에 방문했는데 날씨가 너무 추워서 걸어서 올라가는 게 좀 힘들었지만, 경치가 정말 멋졌어요.",2026,1.0,1,게,힘들다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,"1월 14일에 방문했는데 날씨가 너무 추워서 걸어서 올라가는 게 좀 힘들었지만, 경치가 정말 멋졌어요.",2026,1.0,1,경치,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,방문할 가치가 있는 곳입니다.,2026,1.0,2,가치,있다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"멋진 곳이고, 관광 명소이며, 서울에서 꼭 방문해야 할 곳입니다.",2026,1.0,1,곳,멋지다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,그곳은 정말 아름답습니다.,2026,1.0,1,그곳,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"항상 사람들로 붐비겠지만, 특히 맑은 날 저녁 해질녘에 탑에 올라가는 것은 정말 가치가 있습니다.",2026,1.0,2,사람,붐비다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,"항상 사람들로 붐비겠지만, 특히 맑은 날 저녁 해질녘에 탑에 올라가는 것은 정말 가치가 있습니다.",2026,1.0,2,가치,있다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,매우 아름다운 광경을 볼 수 있을 거예요.,2026,1.0,3,광경,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,저는 이곳이 정말 좋아요.,2026,1.0,1,이곳,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,왜냐하면 이곳은 저에게 아주 편안한 곳이기 때문이에요 ^__^,2026,1.0,2,이곳,편안하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,매우 깨끗하고 조화롭습니다,2026,1.0,1,,,,,긍정
1달 전,별표 4개,안개가 짙고 공기가 탁해서 도시의 전경을 제대로 볼 수 없었습니다.,2026,1.0,1,안개,짙다,2. 시각적 요소,볼거리 및 경관,부정
1달 전,별표 4개,안개가 짙고 공기가 탁해서 도시의 전경을 제대로 볼 수 없었습니다.,2026,1.0,1,공기,탁하다,2. 시각적 요소,볼거리 및 경관,부정
1달 전,별표 4개,"유일한 문제는 그날 날씨가 흐렸다는 거였지만, 걸어 올라가는 건 재미있었어요.",2026,1.0,1,날씨,흐리다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,"유일한 문제는 그날 날씨가 흐렸다는 거였지만, 걸어 올라가는 건 재미있었어요.",2026,1.0,1,건,재미있다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,케이블카를 타려면 왕복으로 타는 게 좋아요.,2026,1.0,2,게,좋다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 4개,"편도 12,000km인데 왕복은 15,000km거든요.",2026,1.0,3,,,,,중립
1달 전,별표 4개,제가 직접 경험해 보고 알게 된 사실이에요.,2026,1.0,4,,,,,중립
1달 전,별표 4개,아니면 그냥 버스를 타고 내려오는 방법도 있어요.,2026,1.0,5,,,,,중립
1달 전,별표 4개,탑 꼭대기에서 보는 전망은 정말 훌륭했어요.,2026,1.0,1,전망,훌륭하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,주말 저녁에 갔는데 사람이 엄청 많았어요.,2026,1.0,2,사람,많다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,패스트패스를 샀는데 별 도움이 안 됐어요.,2026,1.0,3,도움,안되다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,기껏해야 5분 정도밖에 절약 못 해서 전혀 돈 낭비였어요.,2026,1.0,4,,,,,부정
1달 전,별표 4개,가장 좋았던 건 탑까지 언덕을 오르내리는 거였어요!,2026,1.0,5,건,좋다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,서울과 주변 지역의 멋진 전망을 감상할 수 있습니다!,2026,1.0,1,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,케이블카도 합리적인 가격으로 이용 가능합니다.,2026,1.0,2,가격,합리적이다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,정말 좋았어요!,2026,1.0,1,,,,,긍정
1달 전,별표 5개,"이곳은 등산객과 모험을 즐기는 사람들에게도 좋고, 인스타그램 사진 찍기에도 좋은 곳이에요.",2026,1.0,2,이곳,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"이곳은 등산객과 모험을 즐기는 사람들에게도 좋고, 인스타그램 사진 찍기에도 좋은 곳이에요.",2026,1.0,2,곳,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,정말 멋진 곳입니다.,2026,1.0,3,곳,멋지다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,시간이 남을 때 산책하기 좋은 곳입니다.,2026,1.0,1,곳,좋다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"넓은 공간 덕분에 여유롭게 둘러볼 수 있고, 서울의 전경을 거의 360도 파노라마로 감상할 수 있는 환상적인 경치를 자랑합니다.",2026,1.0,2,공간,넓다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,"넓은 공간 덕분에 여유롭게 둘러볼 수 있고, 서울의 전경을 거의 360도 파노라마로 감상할 수 있는 환상적인 경치를 자랑합니다.",2026,1.0,2,경치,환상적이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"서울타워 전망대는 별도 입장권이 필요하지만, 주변에서도 멋진 전망을 즐길 수 있습니다.",2026,1.0,3,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"서울타워 내부에는 편의점, 카페, 레스토랑, 게임장 등이 있으며, 외부에는 푸드트럭과 노점상들이 있어 활기찬 분위기를 자아냅니다.",2026,1.0,4,분위기,활기차다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,나무 산책로의 난간에는 커다란 자물쇠들이 걸려 있어 독특한 볼거리를 제공합니다.,2026,1.0,5,볼거리,독특하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,시간이 있다면 잘 정비된 산책로를 따라 천천히 걸어 내려가는 것도 좋습니다.,2026,1.0,6,산책로,정비되다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,시간이 있다면 잘 정비된 산책로를 따라 천천히 걸어 내려가는 것도 좋습니다.,2026,1.0,6,산책로,좋다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,다만 케이블카를 이용하려면 약 30분 정도 대기해야 합니다.,2026,1.0,7,케이블카,대기하다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,날씨 덕분에 사람이 별로 없었어요.,2026,1.0,1,사람,없다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 4개,"케이블카를 타고 올라갔는데, 주변에 상점이랑 음식점이 많더라고요.",2026,1.0,2,상점,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,"케이블카를 타고 올라갔는데, 주변에 상점이랑 음식점이 많더라고요.",2026,1.0,2,음식점,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,전망대로 가는 길에 조명 쇼도 즐거웠어요.,2026,1.0,3,조명 쇼,즐겁다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"일반적인 전망대랑 비슷하긴 한데, 고층 건물들이 다 보여요.",2026,1.0,4,전망대,비슷하다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 4개,"일반적인 전망대랑 비슷하긴 한데, 고층 건물들이 다 보여요.",2026,1.0,4,건물,보이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,한 번쯤 가볼 만한 곳이에요.,2026,1.0,5,곳,가다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울에서 관광객으로서 할 수 있는 일 중에는 이보다 더 나쁜 것도 많습니다.,2026,1.0,1,것,나쁘다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울에서 관광객으로서 할 수 있는 일 중에는 이보다 더 나쁜 것도 많습니다.,2026,1.0,1,것,많다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"멋진 전망, 재미있는 케이블카 탑승, 그리고 내부에 있는 세븐일레븐까지 더해져 더욱 매력적입니다.",2026,1.0,2,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"멋진 전망, 재미있는 케이블카 탑승, 그리고 내부에 있는 세븐일레븐까지 더해져 더욱 매력적입니다.",2026,1.0,2,케이블카 탑승,재미있다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"멋진 전망, 재미있는 케이블카 탑승, 그리고 내부에 있는 세븐일레븐까지 더해져 더욱 매력적입니다.",2026,1.0,2,세븐일레븐,매력적이다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"다만, 성수기에는 케이블카를 타기 위해 줄을 서야 할 수도 있습니다.",2026,1.0,3,줄,서다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,11월 말에 서울타워를 방문했는데 정말 아름다웠어요.,2026,1.0,1,서울타워,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,야경 전체가 너무 멋져서 정말 좋았습니다!,2026,1.0,2,야경,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,야경 전체가 너무 멋져서 정말 좋았습니다!,2026,1.0,2,야경,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,하지만 너무 추웠어요!,2026,1.0,3,,,,,부정
1달 전,별표 5개,서울에서 꼭 봐야 할 명소입니다.,2026,1.0,1,명소,보다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"겨울에 방문한다면 타워까지 바로 가는 버스를 타고, 버스에서 내려 걸어서 5분 정도 올라가는 것을 추천합니다.",2026,1.0,2,것,추천하다,5. 이용 편의성,접근 및 물리적 여건,중립
